CountryName,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Antigua and Barbuda,ATG,"Secondary education, pupils (% female)",SE.SEC.ENRL.FE.ZS,,,,,,,,,,,,,44.79856873,,51.3615303,54.0591011,,51.69625854,42.00841141,,,,,,,,,,,,,,50.24808121,,,,,,,,50.2464,,,,,,,51.13549,50.18544,51.2446,51.1854,50.14795,53.42956,,49.68429,50,,48.76898,48.52342,
Australia,AUS,"Secondary education, pupils (% female)",SE.SEC.ENRL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.82165146,48.6219101,48.59270096,48.66638947,49.56177139,,,,,,,,,,,,,,,,,,45.21232,45.19242,45.77643,,
Austria,AUT,"Secondary education, pupils (% female)",SE.SEC.ENRL.FE.ZS,,,,,,,,,,,,46.44340897,,,,,46.05342102,,,,,46.24015045,46.63922119,46.45549011,46.45949936,47.04692078,46.60972977,46.36341095,46.54642868,46.9189682,46.66110992,46.84780121,46.88975143,47.06864166,47.21646881,47.24697876,47.38259888,47.58237076,47.37593079,47.59489822,47.71117,47.71103,47.52899,47.45914,47.36296,47.52551,47.72466,47.76727,47.71157,47.63605,47.76895,47.75868,47.78803,47.86848,47.79125,47.84602,47.77079,47.65731,,
Azerbaijan,AZE,"Secondary education, pupils (% female)",SE.SEC.ENRL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,48.33644104,,,,,48.01802063,,,,,48.58863068,48.49834824,48.16104889,47.7569313,50.07432938,50.4969101,51.28004074,,,,,,,,,,,,,,,,,,,,,46.73612,
Burundi,BDI,"Secondary education, pupils (% female)",SE.SEC.ENRL.FE.ZS,,,,,,,,,,,,19.97797012,21.1223793,25.50839043,28.72254944,30.30821037,30.85957909,33.05183029,32.18051147,32.31776047,32.54722977,31.97286034,36.55260086,32.67058182,32.9817009,34.38959122,33.89104843,35.81837845,36.45998001,37.40507889,38.32801056,36.82675171,37.82387924,38.77013016,,,,,,,,,,43.54587,43.03617,42.54222,42.55107,41.91002,,42.00397,41.86956,42.4928,43.38291,44.90565,46.747,48.43815,49.9138,51.20159,52.69295,
Belgium,BEL,"Secondary education, pupils (% female)",SE.SEC.ENRL.FE.ZS,,,,,,,,,,,,48.36735916,48.26171875,48.41342163,48.43688965,48.74153137,48.76716995,49.22449875,49.36116028,49.34703827,49.55912018,49.6823616,49.54111862,49.78812027,49.41535187,49.44596863,49.16999817,49.10877991,49.03934097,49.04518127,49.12052155,49.07062149,49.04449844,50.29809952,50.33703995,50.63835907,50.55004883,,,50.63029861,51.2323,51.42563,51.64196,51.25249,51.16855,51.65622,51.84356,52.03184,52.33245,52.42225,52.17376,52.1321,52.23633,52.1697,52.10666,52.12979,51.69941,51.68019,,
Benin,BEN,"Secondary education, pupils (% female)",SE.SEC.ENRL.FE.ZS,,,,,,,,,,,,29.7948494,,30.23720932,30.73628998,32.70803833,,27.62297058,,,,,,,,29.24649048,28.54290009,28.84477997,,,,,,,,,,,,31.3597908,31.16635,31.80678,31.79518,31.50592,31.65763,,,,,,,37.87644,,39.55673,40.22902,41.04859,42.41021,,,
Burkina Faso,BFA,"Secondary education, pupils (% female)",SE.SEC.ENRL.FE.ZS,,,,,,,,,,,,27.99291039,27.66794968,29.40158081,30.0152607,30.73690987,31.57084084,29.23510933,,32.74335861,36.16453934,33.49431992,35.17102814,33.64514923,34.30184174,34.99988937,33.58723068,,,,,,,,35.15908051,,,,,37.5381813,38.95165,39.15485,,39.92926,40.32671,40.73328,41.27081,41.55788,41.84794,41.92658,42.49667,42.99433,43.94984,44.98252,45.73683,47.05256,47.80332,48.36088,49.07022,
Bangladesh,BGD,"Secondary education, pupils (% female)",SE.SEC.ENRL.FE.ZS,,,,,,,,,,,,,,25.07966042,,,24.41650009,21.05838966,,20.08230019,23.93885994,18.63645935,,,28.58783913,28.00933075,31.11211014,30.68965912,31.48986053,32.24383926,32.85393143,,,,,,,,47.43518066,48.73194122,49.6797,50.92078,51.33841,51.31491,49.57885,50.55284,50.38455,50.32442,51.97693,50.90071,51.88096,52.52608,52.19005,50.90999,,51.89476,51.36834,52.80007,52.63983,
Bulgaria,BGR,"Secondary education, pupils (% female)",SE.SEC.ENRL.FE.ZS,,,,,,,,,,,,48.59780884,48.76129913,48.7737999,48.81626892,48.95795059,48.1827507,48.58382034,48.14474869,48.05076981,48.07701111,48.37968063,48.45048141,48.46342087,48.52904892,48.51979065,48.54803085,48.54565811,48.60419083,48.57815933,48.69701004,48.82595062,48.8732605,48.71799088,48.61603165,48.61272049,48.4192009,48.55487061,48.26356888,48.21538925,48.14294,48.16988,48.13793,48.09396,47.72123,47.65387,47.70237,47.66848,47.85133,47.75167,47.50686,47.3688,47.49914,47.38755,47.6472,47.69485,47.72228,,,
Bahrain,BHR,"Secondary education, pupils (% female)",SE.SEC.ENRL.FE.ZS,,,,,,,,,,,,40.79256058,44.46369171,45.27653885,46.68489075,46.91822815,47.52108002,47.64242935,47.81010056,46.64595032,46.31700897,45.58203125,45.83768845,45.77597046,47.08448029,47.46385956,48.12971115,48.07889938,48.43857956,49.30308151,49.65456009,50.10105133,50.3436203,50.09220886,49.95663834,49.69406128,50.15203857,50.73796844,50.73360062,50.97333908,50.63874,50.95547,50.70066,50.19655,49.89086,49.9672,49.67804,,49.5406,49.58819,49.61398,49.28595,49.08529,48.73067,48.93997,48.87295,48.88571,48.95992,48.80536,
"Bahamas, The",BHS,"Secondary education, pupils (% female)",SE.SEC.ENRL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,52.08610916,52.35631943,,52.72774124,52.34024048,51.25819016,,,,,49.65662003,49.53287125,,49.25268173,,54.99821091,,49.42510986,,,51.02639,,49.62245,49.70551,49.79975,50.39308,50.05669,50.0992,50.83125,50.39275,51.22485,51.29096,50.63918,50.37258,50.53904,,,
Bosnia and Herzegovina,BIH,"Secondary education, pupils (% female)",SE.SEC.ENRL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.20913,48.99652,48.94379,48.98378,49.02748,49.01395,49.12868,49.23015,49.28957,49.28292,49.30889,49.39487,
Belarus,BLR,"Secondary education, pupils (% female)",SE.SEC.ENRL.FE.ZS,,,,,,,,,,,,49.67596817,48.39162064,47.62054062,47.23381042,48.12002945,50.34526825,50.16542816,50.26826096,50.37623978,50.15307999,,,,,,,50.37207031,50.38851166,50.38867188,50.41590881,,,,,,,,50.24140167,,,,,,,,,,47.82188,47.79141,47.75405,47.73359,47.71105,48.01033,48.17537,48.2817,48.24317,48.26643,48.29377,
Belize,BLZ,"Secondary education, pupils (% female)",SE.SEC.ENRL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,51.25281906,50.54499054,,,,50.84592056,,,49.82532883,50.20764923,,,,51.2350502,50.87153,50.83419,,50.60617,51.11065,50.35806,50.71134,51.03199,51.35925,51.40443,51.73276,51.47558,50.66825,50.97341,51.07427,50.50983,50.17785,50.9508,50.58608,
Bermuda,BMU,"Secondary education, pupils (% female)",SE.SEC.ENRL.FE.ZS,,,,,,,,,,,,53.51453018,49.58639908,53.16991043,53.16149139,53.19149017,52.17662048,52.03041077,51.79351044,49.93347168,49.83095169,,,,,,,,,,,,,,,,,,,,,51.11695,51.47864,52.44635,53.071,52.43902,51.46082,,,,53.41784,53.28704,53.0303,53.07784,52.47984,51.95545,,,,
Bolivia,BOL,"Secondary education, pupils (% female)",SE.SEC.ENRL.FE.ZS,,,,,,,,,,,,41.30297852,,,,,,,,,,,,,,,,,,,,,,,,,,,47.59268188,47.59273148,47.33492,47.43116,47.52388,47.50707,47.59837,47.83697,48.10411,48.36428,48.59032,48.8829,48.95361,49.14772,49.11039,49.06715,48.97842,48.80521,48.71066,48.44109,,
Brazil,BRA,"Secondary education, pupils (% female)",SE.SEC.ENRL.FE.ZS,,,,,,,,,,,50.46578979,50.77869034,50.88948059,51.26401138,51.96509171,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.5579,51.74738,51.53751,51.62273,,51.73531,51.70602,51.61897,51.49838,51.36766,51.15442,50.73076,50.50958,50.24987,49.96678,49.73256,,
Barbados,BRB,"Secondary education, pupils (% female)",SE.SEC.ENRL.FE.ZS,,,,,,,,,,,,51.05279922,51.2538414,51.22486115,50.8573494,50.74013901,51.55210876,51.24316025,50.81443024,51.36180878,53.15602112,49.84038162,51.5492897,50.57524872,50.70539093,50.3397789,,,,51.17221069,46.88801956,,,,,,,,,50.64329147,50.25695,49.41532,49.42507,49.73505,49.65258,49.35101,50.20858,49.97821,50.25323,49.96989,49.56147,50.19801,,,49.54133,49.58159,49.79872,49.61727,49.59379,
Brunei Darussalam,BRN,"Secondary education, pupils (% female)",SE.SEC.ENRL.FE.ZS,,,,,,,,,,,44.75122833,45.71646118,46.31414032,47.0825386,47.23437881,47.5297699,48.35694885,48.81600189,49.28702164,49.74246979,49.9742012,50.51765823,50.57648849,51.12839127,51.22587967,,,,,,,50.3404808,51.08808899,50.9783783,50.62216187,,,,50.93836975,50.75233841,49.90769,49.59985,49.23757,49.28789,49.0336,48.8246,48.87877,48.82507,48.62683,48.52137,48.58181,48.1549,48.47507,48.63157,48.12994,48.346,48.6828,48.92047,48.99839,
Bhutan,BTN,"Secondary education, pupils (% female)",SE.SEC.ENRL.FE.ZS,,,,,,,,,,,3.361340046,7.394370079,7.554299831,,9.675620079,,,15.625,,,,,,17.04417038,17.47274971,,,,,,,,,,,,,,42.85480881,43.31613159,43.83345,44.49596,,,,47.14787,47.70002,47.9729,48.16692,49.47739,49.88007,50.40626,50.71286,50.97928,50.98684,50.85307,51.54652,51.66481,52.01454,
Botswana,BWA,"Secondary education, pupils (% female)",SE.SEC.ENRL.FE.ZS,,,,,,,,,,,45.48778152,47.08535004,46.4489212,48.7816391,51.23723984,51.92496109,53.3087616,54.48704147,53.22758865,54.19694901,54.5281105,55.43941879,,54.25429916,53.41402054,53.01847839,52.23981857,51.03371048,50.80327988,51.81340027,52.52642822,53.93471909,53.53667068,53.07197952,52.20112991,52.2252388,,,51.84043121,51.44356155,51.37699,50.98192,51.16654,51.08713,50.84787,50.49906,51.06782,51.08853,51.90168,,,,,,,,,,,
Central African Republic,CAF,"Secondary education, pupils (% female)",SE.SEC.ENRL.FE.ZS,,,,,,,,,,,,18.92012024,17.30686951,16.52290916,,,18.03484917,17.94396973,21.17561913,21.34773064,25.82856941,26.40065002,26.3235302,,,,26.96842957,28.84197998,27.82221031,29.15526962,28.74031067,29.37561035,29.38043022,,,,,,,,,34.64839,,,,,,,,36.15132,,35.86738,34.26894,,,,39.29494,40.13015,,
Canada,CAN,"Secondary education, pupils (% female)",SE.SEC.ENRL.FE.ZS,,,,,,,,,,,,48.82886124,48.80210876,48.9217186,49.18032837,49.20534897,49.28995895,49.3698082,49.41452026,49.40777969,49.48487091,49.35865021,49.11156845,48.77114105,48.72977829,48.73181152,48.73526001,48.76705933,48.82823181,49.14850998,48.88555145,48.77267075,48.67134094,48.51745987,48.5178299,48.63129044,48.63129044,,48.50569153,49.07759094,49.12778,,,,,48.09249,48.16922,48.18915,48.19664,48.22606,48.22717,48.30019,48.69253,48.733,48.7426,48.75683,48.87042,48.91224,,
Central Europe and the Baltics,CEB,"Secondary education, pupils (% female)",SE.SEC.ENRL.FE.ZS,,,,,,,,,,,48.84732819,48.85443115,48.90058899,48.96781921,48.90724182,48.95925903,48.92576981,48.97903061,48.95475006,48.96284866,48.96408081,49.02276993,49.09465027,49.0880394,49.08549118,49.09674072,49.12007904,49.44744873,49.47452164,48.89854813,48.81724167,49.0999794,49.39268112,49.20375061,49.27370834,49.42596817,49.31315994,49.16886139,49.18864059,49.09481049,48.9286499,48.8614502,48.77510834,48.64329147,49.02154922,48.8481102,48.74494171,48.70090866,48.70404816,48.71028137,48.59903,48.46167,48.44568,48.28155,48.31178,48.38357,48.3764,48.43757,48.44025,
Switzerland,CHE,"Secondary education, pupils (% female)",SE.SEC.ENRL.FE.ZS,,,,,,,,,,,,,,,,,,,45.72177887,46.15961075,46.31774139,46.30773926,46.42562866,46.46395874,46.42665863,46.48654175,46.49311066,46.67179871,46.84022903,47.06011963,47.07189941,47.19525909,47.33182907,46.96743011,47.15417862,47.1911087,47.22034073,,46.5843811,46.79676056,46.96133,47.21451,47.2206,47.25178,47.16756,47.29768,47.3071,47.48521,47.62395,47.72084,47.9436,47.97174,47.92778,48.05592,,47.83439,47.76601,47.67995,,
Channel Islands,CHI,"Secondary education, pupils (% female)",SE.SEC.ENRL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Secondary education, pupils (% female)",SE.SEC.ENRL.FE.ZS,,,,,,,,,,,51.57015991,51.05926132,51.03147125,51.30966187,51.97455978,51.84851837,52.29745102,51.76296997,51.6185112,51.85253906,51.68780136,51.96139908,50.96123123,50.89202881,50.70737839,50.81204987,50.68494034,,,50.50394058,50.67440033,49.7104187,49.99266052,50.62498856,,,,,50.19630051,50.13026047,49.72374,,49.59507,49.47685,49.49968,49.46203,49.64153,49.76698,49.77688,49.84452,49.87867,49.88021,50.00076,49.37138,49.34039,49.28201,49.28981,49.24016,,
China,CHN,"Secondary education, pupils (% female)",SE.SEC.ENRL.FE.ZS,,,,,,,,,,,,,,,,,39.19245911,40.32804871,41.60570908,41.35625839,40.62659073,39.34778976,38.8886795,39.13927841,39.42926025,39.96554947,39.83079147,40.8371315,40.96952057,41.22714996,40.98846817,41.43600845,42.16223145,42.61542892,43.92192841,44.58274841,45.19488907,45.34682083,,,,46.75559,,46.84521,,,47.66759,47.69544,47.83003,47.97153,47.09686,47.11494,47.18714,47.3384,47.35246,47.34064,47.11396,47.05148,46.94867,
Cote d'Ivoire,CIV,"Secondary education, pupils (% female)",SE.SEC.ENRL.FE.ZS,,,,,,,,,,,,21.56094933,22.78395081,22.6468792,23.32859993,,,,,,,30.0189209,,29.20792961,29.84284973,,,,,,,,,,,,,,,34.91781998,,,,,,,,,,,,,,,41.01643,41.40705,41.90515,42.7095,43.47853,
Cameroon,CMR,"Secondary education, pupils (% female)",SE.SEC.ENRL.FE.ZS,,,,,,,,,,,,28.63681984,29.75345039,30.61517906,31.79991913,31.63895035,32.55152893,33.70550919,34.32762146,34.92015076,35.34482956,35.33684158,35.99599838,36.20550919,37.05932999,37.92943954,38.48249054,39.15118027,39.6039505,40.1588707,40.50302124,41.47463989,41.61560059,,,40.48358154,,44.30199051,41.85984039,45.37704086,,44.53114,37.86753,45.29468,43.82554,43.83865,43.91834,43.40359,44.14968,45.19826,,45.51453,45.82037,45.81926,45.68476,45.81841,45.89873,,,
"Congo, Dem. Rep.",COD,"Secondary education, pupils (% female)",SE.SEC.ENRL.FE.ZS,,,,,,,,,,,,21.48455048,22.44939995,25.21801949,27.04634094,26.60239029,26.46060944,26.42156029,26.4531498,26.52953911,26.92753029,27.34011078,27.76828003,28.2130394,28.67514992,29.15597916,29.65682983,30.17764091,32.11185074,,,,32.46300125,31.92671013,30.79610062,37.72404861,,,,,,,,,,,,34.62339,35.54434,35.78517,36.40054,36.82266,37.00663,38.10167,38.15109,38.80093,,,,
"Congo, Rep.",COG,"Secondary education, pupils (% female)",SE.SEC.ENRL.FE.ZS,,,,,,,,,,,,30.05224037,31.5242691,34.27759171,35.04970932,35.46517181,36.02193832,37.12604141,38.1529808,38.62142181,38.99245071,41.16640091,41.36957169,,41.26438904,42.61685181,43.52814102,44.30759048,44.66407013,44.38182831,42.95495987,,43.02853012,,,,42.62752914,,,,,,42.33518,40.48977,45.53665,,,,,,,,46.22579,,,,,,,
Colombia,COL,"Secondary education, pupils (% female)",SE.SEC.ENRL.FE.ZS,,,,,,,,,,,48.75001907,48.97666931,49.29887009,49.59000015,49.87001038,49.8800087,49.90061951,49.91693115,50.04925156,50.09825897,50.21232986,50.35987091,50.35984039,53.05403137,49.89997101,49.90000153,49.98476028,49.89999008,49.90000916,49.89999008,,53.60002136,53.70001984,52.96675873,,52.77095032,50.42531967,,51.84564972,51.72008896,51.52206,,51.58425,,51.64975,51.56524,51.74684,51.68706,51.43719,51.46771,51.35541,51.16577,51.14852,50.97185,50.8991,50.70187,50.53435,50.32766,50.22036,
Comoros,COM,"Secondary education, pupils (% female)",SE.SEC.ENRL.FE.ZS,,,,,,,,,,,,25.29458046,,22.37895966,,,,,,,,33.80924988,,,,,38.79653931,39.83370972,,,,,,,,,,,,44.33108139,,,45.27957,44.92318,42.53128,,,,,,,,,50.09149,50.81869,,,50.67833,,
Cabo Verde,CPV,"Secondary education, pupils (% female)",SE.SEC.ENRL.FE.ZS,,,,,,,,,,,,,49.87792969,,,,,,,,,,,,,,,45.79735947,48.07421875,48.83181,50.38138962,,,,48.80471039,,,,,,,51.40341,50.94371,51.96882,52.17915,52.4634,53.49874,54.1714,52.42949,54.12957,54.20011,53.87484,53.92859,53.14381,52.70548,52.22395,52.04053,52.02678,52.22378,
Costa Rica,CRI,"Secondary education, pupils (% female)",SE.SEC.ENRL.FE.ZS,,,,,,,,,,,50.95795059,51.30894852,51.58425903,52.28596115,51.64818954,51.78773117,52.33245087,52.65095139,,52.73688126,53.01773834,52.57675171,52.44078827,52.3527298,51.69063187,51.6444397,51.03310013,50.64569855,50.24966812,49.97317886,50.17731857,50.40092087,50.3976593,50.82569122,50.84022141,50.94181824,51.17927933,51.48070908,50.81555939,51.00413895,50.80875,50.50028,50.46424,,50.03605,50.02678,50.07184,49.80446,49.98621,50.054,49.9519,49.91096,49.88638,50.33156,50.22543,49.86985,50.19909,50.60972,50.68349,
Caribbean small states,CSS,"Secondary education, pupils (% female)",SE.SEC.ENRL.FE.ZS,,,,,,,,,,,51.84160995,51.83174896,51.80580139,52.06618118,51.99308014,52.79322815,52.64252853,51.92443848,51.83256912,51.86722183,52.19929886,52.1049614,51.94001007,51.61872101,51.42034149,51.41194153,51.92456818,51.3026619,51.39305878,51.79227829,51.47993851,51.27595139,51.21791077,51.21883011,51.13481903,51.07201004,51.14139175,51.20333862,51.08676147,50.93453979,51.05160141,50.97768021,51.24914169,50.93690109,50.67391968,50.8225708,50.85491943,50.83395004,50.87519073,50.41006088,51.12852,51.09735,51.07229,51.04038,51.01624,50.84623,50.68381,50.79623,50.60897,
Cuba,CUB,"Secondary education, pupils (% female)",SE.SEC.ENRL.FE.ZS,,,,,,,,,,,,,49.35383987,48.80781174,48.43410873,48.68397141,,,50.98368835,51.18920135,50.55406189,50.36539841,50.41199112,50.99665833,50.21487045,50.40304184,50.62509155,50.57881165,50.95697021,51.52315903,51.87458038,52.32646179,52.66799164,52.09609985,51.6161499,51.86722946,50.12440109,51.61235809,,50.33406067,49.91613,50.01016,48.54523,48.30675,49.12285,49.08783,49.13028,48.7392,48.5751,48.52086,48.38102,48.39934,48.81856,48.58332,48.98353,49.29587,49.37618,49.09229,48.99787,
Curacao,CUW,"Secondary education, pupils (% female)",SE.SEC.ENRL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.88689,,,,,,
Cayman Islands,CYM,"Secondary education, pupils (% female)",SE.SEC.ENRL.FE.ZS,,,,,,,,,,,,,51.15766144,50.21060944,50.22388077,51.41387939,53.11037064,49.80744934,,,50.82987976,48.24095917,,,,,,,,,,,,,,,,,,48.39609146,49.23143,48.43817,50.44853,,50.83302,47.76912,49.0169,49.46844,51.93871,,,48.73691,49.24288,49.98524,,,,,49.68354,
Cyprus,CYP,"Secondary education, pupils (% female)",SE.SEC.ENRL.FE.ZS,,,,,,,,,,,,46.30657959,46.93722916,47.3756485,48.04098892,46.96794891,47.46520996,47.32683945,47.65589905,48.04647827,48.65668106,48.9211998,49.17657089,49.52500916,49.5210495,49.50976181,49.45730972,49.62535095,49.45605087,49.28543091,49.09183121,49.24686813,49.30701065,49.40647888,49.24935913,49.11425018,49.49452972,49.46136856,,49.48611832,49.37576,49.11418,49.00189,48.92677,49.21127,49.19354,49.18719,49.27914,49.17649,49.09615,49.14863,49.06986,49.2581,48.83621,48.92554,48.86549,,,,
Czech Republic,CZE,"Secondary education, pupils (% female)",SE.SEC.ENRL.FE.ZS,,,,,,,,,,,,49.95616913,49.98949814,50.00764084,50.01150131,49.98775864,49.96231079,49.95652008,49.9679184,50.00704956,50.07110977,,50.50127029,50.50574112,50.43278885,50.35625076,50.29835892,52.9574585,52.94575119,47.45980835,46.62218094,48.08507156,49.87657928,50.4709816,49.12654877,49.56148911,49.63975906,49.65441132,49.99723053,49.86801147,49.2744,49.58153,49.50561,49.46271,49.14804,49.19183,49.12375,49.05179,49.0214,48.99047,48.83198,48.75101,48.73021,48.84565,48.78077,48.90303,48.87799,48.87003,,
Germany,DEU,"Secondary education, pupils (% female)",SE.SEC.ENRL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.09413147,47.78837967,47.92483139,47.9615097,48.04837036,48.16133118,48.15090179,48.2410202,48.35321,48.36544,48.3468,48.25474,48.24499,48.19512,48.09266,48.1634,48.11077,47.46105,47.49005,47.44775,47.36623,47.42538,47.36128,47.29219,47.12005,46.73839,,
Djibouti,DJI,"Secondary education, pupils (% female)",SE.SEC.ENRL.FE.ZS,,,,,,,,,,,,27.14801025,,32.49700928,30.98958015,27.57183075,26.62989044,,,,,,36.13566971,36.8341217,36.02906036,36.57246017,38.6024704,41.04711151,41.66667175,40.90092087,,,39.79653168,42.95687866,42.18027878,40.4778595,41.80437851,41.14641953,,41.56404877,39.29294,38.05827,37.91675,,40.4083,39.50965,39.80506,40.83838,40.69827,41.89429,,43.95369,42.93599,42.87814,44.16341,43.94533,44.47654,44.93517,45.12158,45.77627
Dominica,DMA,"Secondary education, pupils (% female)",SE.SEC.ENRL.FE.ZS,,,,,,,,,,,,,,57.85831833,61.77276993,62.65871811,58.97949982,60.32841873,59.41342926,59.18276978,,,,,,,53.63636017,53.89981079,,,53.30138016,,,,,,,,,56.56750107,52.83349,52.17275,52.14667,51.67012,50.42129,50.01338,49.67224,49.99332,49.04912,50.8733,50.62075,50.48409,,,49.01995,49.16382,,,,
Denmark,DNK,"Secondary education, pupils (% female)",SE.SEC.ENRL.FE.ZS,,,,,,,,,,,,,,,,,,,47.66925812,47.58623123,48.12797165,48.54372025,48.6109314,48.34357834,48.40742874,48.4070816,48.70243073,48.78543091,48.9897995,49.0740509,49.42705154,49.20795059,49.31315994,49.50022125,49.51475143,49.50054169,49.48759079,,50.03490829,50.32350922,50.06371,50.10747,50.04821,50.07329,49.83168,49.48016,49.3802,49.39092,49.38899,49.20206,48.9418,49.11455,48.99678,49.27244,49.60066,49.68921,49.28619,48.97225,,
